,"S, Subarray Size",Comparisons
0,1,1536248.8
1,2,1536473.6
2,3,1536395.6
3,4,1536655.6
4,5,1536826.2
5,6,1554764.8
6,7,1557864.6
7,8,1558170.6
8,9,1558063.2
9,10,1557842.2
10,11,1557905.8
11,12,1620089.8
12,13,1639305.6
13,14,1639324.0
14,15,1639337.6
15,16,1640033.8
16,17,1639594.8
17,18,1639947.0
18,19,1639684.4
19,20,1639071.8
20,21,1639119.2
21,22,1639493.0
22,23,1639552.2
23,24,1764884.2
24,25,1862903.6
25,26,1861550.4
26,27,1861657.8
27,28,1862571.8
28,29,1861735.0
29,30,1861526.8
30,31,1861905.8
31,32,1861958.8
32,33,1862471.2
33,34,1861366.0
34,35,1861551.4
35,36,1861714.8
36,37,1863220.6
37,38,1863595.4
38,39,1862463.0
39,40,1862169.6
40,41,1861122.8
41,42,1861385.4
42,43,1861964.4
43,44,1861214.0
44,45,1861325.4
45,46,1863314.0
46,47,1862035.6
47,48,1948012.4
48,49,2380877.2
49,50,2383801.2
50,51,2381631.6
51,52,2384070.2
52,53,2383575.8
53,54,2383096.4
54,55,2380596.6
55,56,2381540.0
56,57,2382875.4
57,58,2383323.4
58,59,2383503.0
59,60,2384188.0
60,61,2382626.0
61,62,2383898.4
62,63,2382510.6
63,64,2382896.6
64,65,2381850.8
65,66,2384551.2
66,67,2383730.4
67,68,2383045.4
68,69,2382830.2
69,70,2382107.2
70,71,2381240.4
71,72,2382814.6
72,73,2383341.2
73,74,2382403.0
74,75,2382911.8
75,76,2382359.8
76,77,2382483.8
77,78,2380640.0
78,79,2383013.8
79,80,2382175.2
80,81,2380680.4
81,82,2384285.4
82,83,2382548.2
83,84,2383794.8
84,85,2382673.8
85,86,2383216.0
86,87,2380442.8
87,88,2383900.6
88,89,2384344.8
89,90,2383427.4
90,91,2381066.8
91,92,2382543.4
92,93,2384399.6
93,94,2381040.0
94,95,2382269.4
95,96,2383221.6
96,97,2764457.4
97,98,3509432.2
98,99,3509097.0
99,100,3511826.4
100,101,3505749.4
101,102,3509783.0
102,103,3505075.4
103,104,3509963.0
104,105,3512166.4
105,106,3509795.6
106,107,3511488.8
107,108,3508291.8
108,109,3502953.4
109,110,3510543.4
110,111,3509440.4
111,112,3509830.4
112,113,3511629.6
113,114,3510328.6
114,115,3508174.4
115,116,3512313.6
116,117,3506967.6
117,118,3507272.4
118,119,3508041.2
119,120,3504752.4
120,121,3507881.4
121,122,3507379.2
122,123,3508214.4
123,124,3513138.2
124,125,3511405.6
125,126,3506173.4
126,127,3511251.6
127,128,3512787.2
128,129,3507743.2
129,130,3513187.2
130,131,3511329.6
131,132,3508200.6
132,133,3506159.4
133,134,3512240.6
134,135,3506072.2
135,136,3506410.0
136,137,3509770.8
137,138,3510945.2
138,139,3512274.2
139,140,3509224.8
140,141,3507491.4
141,142,3508545.0
142,143,3513819.0
143,144,3511266.6
144,145,3511230.0
145,146,3508857.8
146,147,3508268.4
147,148,3511938.8
148,149,3509203.0
149,150,3506144.2
