index, Range of Numbers, Comparisons
0, 1000, 1536544.0
1, 2000, 1536732.8
2, 3000, 1536827.8
3, 4000, 1536670.4
4, 5000, 1536650.4
5, 6000, 1536873.2
6, 7000, 1536706.6
7, 8000, 1536956.0
8, 9000, 1536757.6
9, 10000, 1536872.4
10, 20000, 1536672.2
11, 30000, 1536693.0
12, 40000, 1536810.2
13, 50000, 1536745.8
14, 60000, 1536772.6
15, 70000, 1536919.0
16, 80000, 1536694.8
17, 90000, 1536851.0
18, 100000, 1536507.6
19, 200000, 1536761.6
20, 300000, 1536875.4
21, 400000, 1536878.0
22, 500000, 1536982.6
23, 600000, 1536721.0
24, 700000, 1536787.8
25, 800000, 1536893.2
26, 900000, 1536952.4
27, 1000000, 1536777.2
28, 2000000, 1536861.8
29, 3000000, 1536665.4
30, 4000000, 1536908.2
31, 5000000, 1536728.8
32, 6000000, 1536785.8
33, 7000000, 1536764.2
34, 8000000, 1536669.2
35, 9000000, 1536866.2
36, 10000000, 1536857.8
