,"S, Subarray Size",Comparisons
0,1,8707.2
1,2,8709.4
2,3,8705.0
3,4,8769.4
4,5,8755.6
5,6,8784.0
6,7,8809.4
7,8,9110.4
8,9,9113.8
9,10,9151.2
10,11,9127.4
11,12,9154.6
12,13,9159.6
13,14,9097.4
14,15,9541.2
15,16,10287.8
16,17,10372.8
17,18,10433.0
18,19,10340.2
19,20,10361.0
20,21,10281.8
21,22,10348.8
22,23,10304.4
23,24,10356.6
24,25,10359.2
25,26,10302.4
26,27,10347.0
27,28,10324.6
28,29,10327.0
29,30,10324.4
30,31,12635.6
31,32,13382.6
32,33,13376.6
33,34,13359.8
34,35,13247.8
35,36,13303.2
36,37,13419.8
37,38,13380.0
38,39,13459.2
39,40,13396.6
40,41,13322.6
41,42,13429.0
42,43,13382.8
43,44,13375.0
44,45,13251.8
45,46,13514.2
46,47,13399.0
47,48,13359.0
48,49,13410.2
49,50,13461.0
50,51,13208.4
51,52,13393.6
52,53,13421.4
53,54,13472.4
54,55,13424.4
55,56,13323.8
56,57,13236.6
57,58,13385.2
58,59,13350.0
59,60,13553.0
60,61,13523.2
61,62,16789.4
62,63,20372.8
63,64,20134.8
64,65,20203.0
65,66,20004.0
66,67,20373.4
67,68,20245.4
68,69,20184.0
69,70,20490.8
70,71,20189.0
71,72,19984.4
72,73,20499.2
73,74,20435.0
74,75,20251.0
75,76,20079.6
76,77,20447.6
77,78,20020.0
78,79,20135.6
79,80,20378.8
80,81,20319.6
81,82,20261.0
82,83,20491.0
83,84,20204.0
84,85,20181.4
85,86,20471.4
86,87,20238.8
87,88,20328.2
88,89,20223.4
89,90,20128.4
90,91,20467.4
91,92,20288.2
92,93,19934.0
93,94,20077.4
94,95,20089.0
95,96,20208.4
96,97,20082.2
97,98,20207.8
98,99,20333.2
99,100,20130.2
100,101,20344.6
101,102,20356.2
102,103,20156.8
103,104,19982.4
104,105,20351.8
105,106,20178.8
106,107,20328.8
107,108,20096.2
108,109,20100.6
109,110,20362.8
110,111,20170.4
111,112,20290.4
112,113,20130.6
113,114,20438.6
114,115,20348.0
115,116,20220.4
116,117,20237.6
117,118,20265.8
118,119,20179.4
119,120,20556.8
120,121,20140.4
121,122,20489.0
122,123,20289.0
123,124,20168.2
124,125,34733.2
125,126,35124.4
126,127,34962.8
127,128,34752.8
128,129,35066.8
129,130,35123.0
130,131,35082.6
131,132,34915.8
132,133,35070.6
133,134,34749.8
134,135,34868.6
135,136,35127.4
136,137,35377.4
137,138,34859.0
138,139,35257.6
139,140,34940.2
140,141,34663.4
141,142,35182.2
142,143,35222.0
143,144,34947.0
144,145,34643.0
145,146,34789.0
146,147,34580.6
147,148,34732.0
148,149,35306.4
149,150,35465.4
150,151,34916.4
151,152,34935.6
152,153,34960.8
153,154,34778.4
154,155,35093.2
155,156,34630.8
156,157,35369.2
157,158,34475.4
158,159,34883.4
159,160,34757.0
160,161,34767.4
161,162,35213.6
